Item,Classification,Source,Question,Answer,Prefix,definite-yes,probable-yes,definite-no,probable-no,DevEval,QuestionParse,AnswerParse
4029,Hirschberg,Hirschberg1985,Have you had your granola?,I had grapefruit.,,0,0,17,13,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN had) (NP (PRP$ your) (NN-CONTRAST granola))) (. ?)),(S (NP (PRP I)) (VP (VBD had) (VP (VBN-CONTRAST grapefruit))) (. .))
4017,Hirschberg,Hirschberg1985,Do you know how many we have?,We can check.,,0,2,10,18,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB-CONTRAST know) (SBAR (WHADJP (WRB how) (JJ many)) (S (NP (PRP we)) (VP (VBP have))))) (. ?)),(S (NP (PRP We)) (VP-CONTRAST (MD can) (VP (VB check))) (. .))
4015,Hirschberg,Hirschberg1985,You don't like the snow?,I loathe it.,,12,1,16,1,DEVELOPMENT,(S (NP (PRP You)) (VP (VBP do) (RB n't) (VP (VB-CONTRAST like) (NP (DT the) (NN snow)))) (. ?)),(S (NP (PRP I)) (VP (VBP-CONTRAST loathe) (NP (PRP it))) (. .))
4016,Hirschberg,Hirschberg1985,Do you need this?,I want it.,,2,15,0,13,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB-CONTRAST need) (NP (DT this))) (. ?)),(S (NP (PRP I)) (VP (VBP-CONTRAST want) (NP (PRP it))) (. .))
4033,Hirschberg,Hirschberg1985,Is she taking any medication?,She's taking vitamins.,,3,3,4,20,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP she)) (VP (VBG taking) (NP (DT any) (NN-CONTRAST medication))) (. ?)),(S (NP (PRP She)) (VP (VBZ 's) (VP (VBG taking) (NP (NNS-CONTRAST vitamins)))) (. .))
4004,Hirschberg,Hirschberg1985,Was he cute?,He wasn't stunning.,,2,2,7,19,DEVELOPMENT,(SQ (VBD Was) (NP (PRP he)) (ADJP (JJ-CONTRAST cute)) (. ?)),(S (NP (PRP He)) (VP (VBD was) (RB-CONTRAST n't) (ADJP (JJ-CONTRAST stunning))) (. .))
4024,Hirschberg,Hirschberg1985,Have you mailed that letter yet?,I haven't proofread it.,,0,0,25,5,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN-CONTRAST mailed) (NP (DT that) (NN letter)) (ADVP (RB yet))) (. ?)),(S (NP (PRP I)) (VP (VBP have) (RB-CONTRAST n't) (VP (VBN-CONTRAST proofread) (NP (PRP it)))) (. .))
4013,Hirschberg,Hirschberg1985,Does she like it?,She doesn't mind.,,0,25,0,5,DEVELOPMENT,(SQ (VBZ Does) (NP (PRP she)) (VP (VB-CONTRAST like) (NP (PRP it))) (. ?)),(S (NP (PRP She)) (VP (VBZ does) (RB-CONTRAST n't) (VP (VB-CONTRAST mind))) (. .))
4027,Hirschberg,Hirschberg1985,Have you ever knitted before?,I've done a lot of crocheting.,,1,7,2,20,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (ADVP (RB ever)) (VBN-CONTRAST knitted) (PP (IN before))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP (VBN done) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN-CONTRAST crocheting)))))) (. .))
4010,Hirschberg,Hirschberg1985,Have you finished the third grade?,I've finished the fourth.,,20,9,1,0,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN finished) (NP (DT the) (JJ-CONTRAST third) (NN-CONTRAST grade))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP (VBN finished) (NP (DT the) (JJ-CONTRAST fourth)))) (. .))
4007,Hirschberg,Hirschberg1985,Did you buy a house?,We haven't gotten a mortgage yet.,,0,2,16,12,DEVELOPMENT,(SQ (VBD Did) (NP (PRP you)) (VP-CONTRAST (VB buy) (NP (DT a) (NN house))) (. ?)),(S (NP (PRP We)) (VP (VBP have) (RB-CONTRAST n't) (VP (VBN gotten) (NP (DT a) (NN-CONTRAST mortgage)) (ADVP (RB yet)))) (. .))
4026,Hirschberg,Hirschberg1985,Do you have apple juice?,I have grape or tomato or bloody mary mix.,,0,0,21,9,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP (NN-CONTRAST apple) (NN juice))) (. ?)),(S (NP (PRP I)) (VP (VBP have) (NP (NP (NN-CONTRAST grape) (CC or) (NN-CONTRAST tomato)) (CC or) (NP-CONTRAST (JJ bloody) (NN mary) (NN mix)))) (. .))
4025,Hirschberg,Hirschberg1985,Can you sing a Motels song right now?,My cousin can.,,0,0,13,17,DEVELOPMENT,(SQ (MD Can) (NP (PRP-CONTRAST you)) (VP (VB sing) (NP (DT a) (NNP Motels) (NN song)) (ADVP (RB right) (RB now))) (. ?)),(S (NP-CONTRAST (PRP$ My) (NN cousin)) (VP (MD can)) (. .))
4001,Hirschberg,Hirschberg1985,Have you made fondue in this pot yet?,Not chocolate fondue.,,1,19,1,9,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN made) (NP (NN-CONTRAST fondue)) (PP (IN in) (NP (DT this) (NN pot)))) (ADVP (RB yet)) (. ?)),(FRAG (NP-CONTRAST (RB Not) (NN chocolate) (NN fondue)) (. .))
4012,Hirschberg,Hirschberg1985,Have you read the third chapter?,I read the fourth.,,3,16,2,9,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN read) (NP (DT the) (JJ-CONTRAST third) (NN chapter))) (. ?)),(S (NP (PRP I)) (VP (VBP read) (NP (DT the) (JJ-CONTRAST fourth))) (. .))
4006,Hirschberg,Hirschberg1985,Do you speak Ladino?,I speak Spanish,,1,9,4,16,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB speak) (NP (NNP-CONTRAST Ladino))) (. ?)),(S (NP (PRP I)) (VP (VBP speak) (NP (NNP-CONTRAST Spanish))))
4023,Hirschberg,Hirschberg1985,Have you mailed that letter yet?,I've typed it.,,0,0,15,15,DEVELOPMENT,(SQ (VBP Have) (NP (PRP you)) (VP (VBN-CONTRAST mailed) (NP (DT that) (NN letter)) (ADVP (RB yet))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP (VBN-CONTRAST typed) (NP (PRP it)))) (. .))
4032,Hirschberg,Hirschberg1985,Do you have paste?,We have rubber cement.,,0,8,4,18,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP-CONTRAST (NN paste))) (. ?)),(S (NP (PRP We)) (VP (VBP have) (NP-CONTRAST (NN rubber) (NN cement))) (. .))
4020,Hirschberg,Hirschberg1985,Should we have the ham during Christmas?,We could have it during Christmas.,,12,16,0,2,DEVELOPMENT,(SQ (MD-CONTRAST Should) (NP (PRP we)) (VP (VB have) (NP (DT the) (NN ham)) (PP (IN during) (NP (NNP Christmas)))) (. ?)),(S (NP (PRP We)) (VP (MD-CONTRAST could) (VP (VB have) (NP (PRP it)) (PP (IN during) (NP (NNP Christmas))))) (. .))
4005,Hirschberg,Hirschberg1985,Will you be here all semester?,I'll be here all year.,,24,6,0,0,DEVELOPMENT,(SQ (MD Will) (NP (PRP you)) (VP (VB be) (ADVP (RB here)) (NP-TMP (DT all) (NN-CONTRAST semester))) (. ?)),(S (NP (PRP I)) (VP (MD 'll) (VP (VB be) (ADVP (RB here)) (NP-TMP (DT all) (NN-CONTRAST year)))) (. .))
4037,Hirschberg,Hirschberg1985,Do you speak Greek?,I've never lived there.,,0,0,7,23,DEVELOPMENT,(SQ (VBP Do) (NP (PRP you)) (VP-CONTRAST (VBd speak) (NP (JJ Greek))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP-CONTRAST (VBN lived) (ADVP (RB there)))) (. .))
4022,Hirschberg,Hirschberg1985,"So, is she married?",She's engaged.,,2,0,18,10,DEVELOPMENT,"(SQ (ADVP (RB So)) (, ,) (VBZ is) (NP (PRP she)) (ADVP (RB-CONTRAST married)) (. ?))",(S (NP (PRP She)) (VP (VBZ 's) (VP (VBN-CONTRAST engaged))) (. .))
4014,Hirschberg,Hirschberg1985,Are you in love with the guy?,"Well, I love him.",,10,18,1,1,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (PP-CONTRAST (IN in) (NP (NP (NN love)) (PP (IN with) (NP (DT the) (NN guy))))) (. ?)),"(S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP-CONTRAST love) (NP (PRP him))) (. .))"
4030,Hirschberg,Hirschberg1985,Did you finish the book?,I read half of it.,,0,0,26,4,EVALUATION,(SQ (VBD Did) (NP (PRP you)) (VP (VB-CONTRAST finish) (NP (DT the) (NN book))) (. ?)),(S (NP (PRP I)) (VP (VBP-CONTRAST read) (NP (NP (NN-CONTRAST half)) (PP (IN of) (NP (PRP it))))) (. .))
4011,Hirschberg,Hirschberg1985,Have you read the third chapter?,I read the second.,,0,1,18,11,EVALUATION,(SQ (VBP Have) (NP (PRP you)) (VP (VBN read) (NP (DT the) (JJ-CONTRAST third) (NN chapter))) (. ?)),(S (NP (PRP I)) (VP (VBP read) (NP (DT the) (JJ-CONTRAST second))) (. .))
4036,Hirschberg,Hirschberg1985,Do you speak Greek?,I've spent some time there.,,0,12,1,17,EVALUATION,(SQ (VBP Do) (NP (PRP you)) (VP (VB-CONTRAST speak) (NP (JJ Greek))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP-CONTRAST (VBN spent) (NP (DT some) (NN time)) (ADVP (RB there)))) (. .))
4019,Hirschberg,Hirschberg1985,Are his feet blue?,They're kind of blue.,,7,23,0,0,EVALUATION,(SQ (VBP Are) (NP (PRP$ his) (NNS feet)) (ADJP (JJ-CONTRAST blue) (. ?))),(S (NP (PRP They)) (VP (VBP 're) (ADJP (ADVP-CONTRAST (NN kind) (IN of)) (JJ blue))) (. .))
4035,Hirschberg,Hirschberg1985,Are you Greek?,I speak some Greek.,,0,9,4,17,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (ADJP-CONTRAST (VBG Greek)) (. ?)),(S (NP (PRP I)) (VP (VBP-CONTRAST speak) (NP (DT some) (JJ Greek))) (. .))
4008,Hirschberg,Hirschberg1985,Are you serving tea and coffee?,Tea or coffee.,,12,12,2,4,EVALUATION,(SQ (VBP Are) (NP (PRP you)) (VP (VBG serving) (NP (NN tea) (CC-CONTRAST and) (NN coffee))) (. ?)),(NP (NP (NP (NNP Tea)) (CC-CONTRAST or) (NP (NN coffee))) (. .))
4002,Hirschberg,Hirschberg1985,"So, Leo likes bonkers?",She likes the liver-flavored ones.,,8,22,0,0,EVALUATION,"(S (ADVP (RB So)) (, ,) (NP (NNP Leo)) (VP (VBZ likes) (NP (NNS-CONTRAST bonkers))) (. ?))",(S (NP (PRP She)) (VP (VBZ likes) (NP-CONTRAST (DT the) (JJ liver-flavored) (NNS ones))) (. .))
4018,Hirschberg,Hirschberg1985,Do you know what time it is?,I can find out.,,0,2,15,13,EVALUATION,(SQ (VBP Do) (NP (PRP you)) (VP (VB-CONTRAST know) (SBAR (WHNP (WP what) (NN time)) (S (NP (PRP it)) (VP (VBZ is))))) (. ?)),(S (NP (PRP I)) (VP (MD can) (VP-CONTRAST (VB find) (PRT (RP out)))) (. .))
4028,Hirschberg,Hirschberg1985,Do you have whole wheat bread?,"We have rye, pumpernickel, and rolls.",,0,1,12,17,EVALUATION,(SQ (VBP Do) (NP (PRP you)) (VP (VB have) (NP (JJ-CONTRAST whole) (NN-CONTRAST wheat) (NN bread))) (. ?)),"(S (NP (PRP We)) (VP (VBP have) (NP (NP (NN-CONTRAST rye)) (, ,) (NP (NN-CONTRAST pumpernickel)) (, ,) (CC and) (NP (NNS-CONTRAST rolls)))) (. .))"
4003,Hirschberg,Hirschberg1985,Have you gotten the letters yet?,I've gotten the letters from Jones.,,9,18,0,3,EVALUATION,(SQ (VBP Have) (NP (PRP you)) (VP (VBN gotten) (NP-CONTRAST (DT the) (NNS letters)) (ADVP (RB yet))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP (VBN gotten) (NP (DT the) (NNS-CONTRAST letters)) (PP-CONTRAST (IN from) (NP (NNP Jones))))) (. .))
4009,Hirschberg,Hirschberg1985,Have you finished the third grade?,I've finished the second.,,1,0,16,13,EVALUATION,(SQ (VBP Have) (NP (PRP you)) (VP (VBN finished) (NP (DT the) (JJ-CONTRAST third) (NN grade))) (. ?)),(S (NP (PRP I)) (VP (VBP 've) (VP (VBN finished) (NP (DT the) (JJ-CONTRAST second)))) (. .))
3050,Yahoo,YahooAnswers,Is the papaya a digestive fruit?,Every fruit is a digestive fruit.,yes,23,7,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP-CONTRAST (DT the) (NN papaya)) (NP (DT a) (JJ digestive) (NN fruit)) (. ?)),(S (NP-CONTRAST (DT Every) (NN fruit)) (VP (VBZ is) (NP (DT a) (JJ digestive) (NN fruit))) (. .))
3044,Yahoo,YahooAnswers,Are nukes a good idea?,I think they are a bad idea.,,0,0,28,2,DEVELOPMENT,(SQ (VBP Are) (NP (NNS nukes)) (PP (FW a) (NP (JJ-CONTRAST good) (NN idea))) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP are) (NP (DT a) (JJ-CONTRAST bad) (NN idea)))))) (. .))
3009,Yahoo,YahooAnswers,Is Eisenbraun a Jewish family name?,Eisenbraun is a German name.,,0,0,15,15,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Eisenbraun)) (NP (DT a) (JJ-CONTRAST Jewish) (NN family) (NN name)) (. ?)),(S (NP (NNP Eisenbraun)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST German) (NN name))) (. .))
3071,Yahoo,YahooAnswers,Is swimming a good form of exercise?,It is a very good one.,yes,29,1,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (NN swimming)) (NP (NP (DT a) (JJ-CONTRAST good) (NN form)) (PP (IN of) (NP (NN exercise)))) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (ADJP (RB-CONTRAST very) (JJ-CONTRAST good)) (NN one))) (. .))
3058,Yahoo,YahooAnswers,Is Tupac a rock artist?,He is a rapper.,,1,0,21,8,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Tupac)) (NP (DT a) (NN-CONTRAST rock) (NN-CONTRAST artist)) (. ?)),(S (NP (PRP He)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST rapper))) (. .))
3011,Yahoo,YahooAnswers,Is revenge a moral course to follow?,Revenge is a psycho course to follow.,no,0,0,21,9,DEVELOPMENT,(SQ (VBZ Is) (NP (NN revenge)) (NP (NP (DT a) (JJ-CONTRAST moral) (NN course)) (S (VP (TO to) (VP (VB follow))))) (. ?)),(S (NP (NN Revenge)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST psycho) (NN course) (S (VP (TO to) (VP (VB follow)))))) (. .))
3081,Yahoo,YahooAnswers,Is it a sin to get drunk?,It is a sin to drink to excess.,,13,14,1,2,DEVELOPMENT,(SQ (VBZ Is) (NP (PRP it)) (NP (NP (DT a) (NN sin)) (S (VP (TO to) (VP-CONTRAST (VB get) (ADVP (NN drunk)))))) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (NN sin) (S (VP (TO to) (VP-CONTRAST (VB drink) (PP (TO to) (NP (NN excess)))))))) (. .))
3031,Yahoo,YahooAnswers,Is sleep a result of sin?,It's a result of biology.,no,0,0,21,9,DEVELOPMENT,(SQ (VBZ Is) (NP (NN sleep)) (NP (NP (DT a) (NN result)) (PP (IN of) (NP (NN-CONTRAST sin)))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (NN result)) (PP (IN of) (NP (NN-CONTRAST biology))))) (. .))
3046,Yahoo,YahooAnswers,Is Superman an illegal alien?,He is a super hero.,no,0,0,13,17,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Superman)) (NP (DT an) (JJ-CONTRAST illegal) (NN-CONTRAST alien)) (. ?)),(S (NP (PRP He)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST super) (NN-CONTRAST hero))) (. .))
3072,Yahoo,YahooAnswers,Is satan a televangelist?,Satan is a fairy tale character.,no,0,0,23,7,DEVELOPMENT,(SQ (VBZ Is) (NP (NN satan)) (NP (DT a) (NN-CONTRAST televangelist)) (. ?)),(S (NP (NNP Satan)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST fairy) (NN-CONTRAST tale) (NN-CONTRAST character))) (. .))
3082,Yahoo,YahooAnswers,Is Atheism a religion?,Atheism is a cult.,no,0,2,12,16,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Atheism)) (NP (DT a) (NN-CONTRAST religion)) (. ?)),(S (NP (NNP Atheism)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST cult))) (. .))
3075,Yahoo,YahooAnswers,Is Kenya a continent?,It's a country in eastern Africa.,no,0,1,24,5,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Kenya)) (NP (DT a) (NN-CONTRAST continent)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (NP (DT a) (NN-CONTRAST country)) (PP (IN in) (NP (JJ eastern) (NNP Africa))))) (. .))
3061,Yahoo,YahooAnswers,Is black a color?,Black is a shade.,,0,6,4,20,DEVELOPMENT,(SQ (VBZ Is) (NP (NN black)) (NP (DT a) (NN-CONTRAST color)) (. ?)),(S (NP (NNP Black)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST shade))) (. .))
3045,Yahoo,YahooAnswers,Was JFK a Republican?,He was a Democrat.,no,0,0,29,1,DEVELOPMENT,(SQ (VBD Was) (NP (NNP JFK)) (NP (DT a) (NN-CONTRAST Republican)) (. ?)),(S (NP (PRP He)) (VP (VBD was) (NP (DT a) (NNP-CONTRAST Democrat))) (. .))
3053,Yahoo,YahooAnswers,Is racism a genetic characteristic?,It is an ignorant characteristic.,,0,1,12,17,DEVELOPMENT,(SQ (VBZ Is) (NP (NN racism)) (NP (DT a) (JJ-CONTRAST genetic) (NN characteristic)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT an) (JJ-CONTRAST ignorant) (NN characteristic))) (. .))
3060,Yahoo,YahooAnswers,Was Jesus a surfer?,He was a carpenter.,no,0,0,24,6,DEVELOPMENT,(SQ (VBD Was) (NP (NNPS Jesus)) (NP (DT a) (NN-CONTRAST surfer)) (. ?)),(S (NP (PRP He)) (VP (VBD was) (NP (DT a) (NN-CONTRAST carpenter))) (. .))
3017,Yahoo,YahooAnswers,Is goth a religion?,It's a fashion style.,no,0,0,18,12,DEVELOPMENT,(SQ (VBZ Is) (NP (NN goth)) (NP (DT a) (NN-CONTRAST religion)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST fashion) (NN-CONTRAST style))) (. .))
3069,Yahoo,YahooAnswers,Is zero a real number?,Zero is a place holder.,,0,2,3,25,DEVELOPMENT,(SQ (VBZ Is) (NP (NN zero)) (NP (DT a) (JJ-CONTRAST real) (NN-CONTRAST number)) (. ?)),(S (NP (NNP Zero)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST place) (NN-CONTRAST holder))) (. .))
3063,Yahoo,YahooAnswers,Is a 22-year old a young man?,It's a very old boy.,,2,8,2,18,DEVELOPMENT,(SQ (VBZ Is) (NP (DT a) (NN 22-year) (JJ old)) (NP (DT a) (NP (JJ-CONTRAST young) (NN-CONTRAST man))) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (ADJP (RB-CONTRAST very) (JJ-CONTRAST old)) (NN-CONTRAST boy))) (. .))
3036,Yahoo,YahooAnswers,Is addiction a disease?,It is a spiritual illness.,no,0,9,2,19,DEVELOPMENT,(SQ (VBZ Is) (NP (NN addiction)) (NP (DT a) (NN-CONTRAST disease)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST spiritual) (NN-CONTRAST illness))) (. .))
3005,Yahoo,YahooAnswers,Was Jesus a Muslim?,Jesus Christ was a Jew.,,0,0,28,2,DEVELOPMENT,(SQ (VBD Was) (NP (NNPS Jesus)) (NP (DT a) (NNP-CONTRAST Muslim)) (. ?)),(S (NP (NNP Jesus) (NNP Christ)) (VP (VBD was) (NP (DT a) (NN-CONTRAST Jew))) (. .))
3065,Yahoo,YahooAnswers,Is a shark a mammal?,It is a fish.,no,0,1,20,9,DEVELOPMENT,(SQ (VBZ Is) (NP (DT a) (NN shark)) (NP (DT a) (NN-CONTRAST mammal)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST fish))) (. .))
3006,Yahoo,YahooAnswers,Is the Earth a living creature?,It is a planet.,no,0,0,19,11,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN Earth)) (NP (DT a) (NN-CONTRAST living) (NN-CONTRAST creature)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST planet))) (. .))
3067,Yahoo,YahooAnswers,Is Santa an only child?,He has a brother named Fred.,no,1,0,24,5,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Santa)) (NP (DT an) (JJ-CONTRAST only) (NN-CONTRAST child)) (. ?)),(S (NP (PRP He)) (VP (VBZ-CONTRAST has) (NP (NP (DT a) (NN-CONTRAST brother)) (ADP (JJ named) (NP (NNP Fred))))) (. .))
3055,Yahoo,YahooAnswers,Is Halloween a christian festival?,It's a pagan festival.,no,1,0,24,5,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Halloween)) (NP (DT a) (NN-CONTRAST christian) (NN festival)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST pagan) (NN festival))) (. .))
3080,Yahoo,YahooAnswers,Is Cassandra a pretty name?,It is a beautiful name.,,30,0,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Cassandra)) (NP (DT a) (JJ-CONTRAST pretty) (NN name)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST beautiful) (NN name))) (. .))
3070,Yahoo,YahooAnswers,Is the eye an organ?,It is a sensory organ.,yes,24,6,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN eye)) (NP (DT an) (NN-CONTRAST organ)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (JJ-CONTRAST sensory) (NN-CONTRAST organ))) (. .))
3033,Yahoo,YahooAnswers,Is fiber a protein?,It's a carbohydrate.,no,0,0,20,10,DEVELOPMENT,(SQ (VBZ Is) (NP (NN fiber)) (NP (DT a) (NN-CONTRAST protein)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST carbohydrate))) (. .))
3035,Yahoo,YahooAnswers,Is the Pope a Catholic?,He's a Republican.,no,0,16,2,12,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NNP Pope)) (NP (DT a) (NNP-CONTRAST Catholic)) (. ?)),(S (NP (PRP He)) (VP (VBZ 's) (NP (DT a) (NNP-CONTRAST Republican))) (. .))
3016,Yahoo,YahooAnswers,Was Jesus a pagan?,Jesus was a Jew.,,1,0,22,7,DEVELOPMENT,(SQ (VBD Was) (NP (NNPS Jesus)) (NP (DT a) (NN-CONTRAST pagan)) (. ?)),(S (NP (NNS Jesus)) (VP (VBD was) (NP (DT a) (NN-CONTRAST Jew))) (. .))
3000,Yahoo,YahooAnswers,Is chess a sport?,It is a sport of the mind.,,9,19,1,1,DEVELOPMENT,(SQ (VBZ Is) (NP (NN chess)) (NP (DT a) (NN-CONTRAST sport)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (NP (DT a) (NN-CONTRAST sport)) (PP-CONTRAST (IN of) (NP (DT the) (NN mind))))) (. .))
3079,Yahoo,YahooAnswers,Is Cassandra a pretty name?,I think it is a very nice name.,,15,14,0,1,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Cassandra)) (NP (DT a) (JJ-CONTRAST pretty) (NN name)) (. ?)),(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (ADJP-CONTRAST (RB very) (JJ nice)) (NN name)))))) (. .))
3026,Yahoo,YahooAnswers,Is Judaism a nationality?,It's a religion.,,0,1,19,10,DEVELOPMENT,(SQ (VBZ Is) (NP (NNP Judaism)) (NP (DT a) (NN-CONTRAST nationality)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST religion))) (. .))
3023,Yahoo,YahooAnswers,Is a walnut a fruit?,It is a nut.,,0,0,23,7,DEVELOPMENT,(SQ (VBZ Is) (NP (DT a) (NN walnut)) (NP (DT a) (NN-CONTRAST fruit)) (. ?)),(S (NP (PRP It)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST nut))) (. .))
3068,Yahoo,YahooAnswers,Is zero a real number?,It's a prime number.,,9,12,2,7,DEVELOPMENT,(SQ (VBZ Is) (NP (NN zero)) (NP (DT a) (JJ-CONTRAST real) (NN number)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (JJ-CONTRAST prime) (NN number))) (. .))
3064,Yahoo,YahooAnswers,Is a shark a mammal?,A shark is a mammal.,yes,30,0,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (DT a) (NN shark)) (NP (DT a) (NN-CONTRAST mammal)) (. ?)),(S (NP (DT A) (NN shark)) (VP (VBZ is) (NP (DT a) (NN-CONTRAST mammal))) (. .))
3007,Yahoo,YahooAnswers,Is an avocado a vegetable?,It's a fruit.,,0,0,26,4,DEVELOPMENT,(SQ (VBZ Is) (NP (DT an) (NN avocado)) (NP (DT a) (NN-CONTRAST vegetable)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST fruit))) (. .))
3066,Yahoo,YahooAnswers,Is the brain an muscle?,The brain is an organ.,,1,1,18,10,DEVELOPMENT,(SQ (VBZ Is) (NP (DT the) (NN brain)) (NP (DT an) (NN-CONTRAST muscle)) (. ?)),(S (NP (DT The) (NN brain)) (VP (VBZ is) (NP (DT an) (NN-CONTRAST organ))) (. .))
3047,Yahoo,YahooAnswers,Is hypocrisy a sin?,It's a character flaw.,no,0,4,4,22,DEVELOPMENT,(SQ (VBZ Is) (NP (NN hypocrisy)) (NP (DT a) (NN-CONTRAST sin)) (. ?)),(S (NP (PRP It)) (VP (VBZ 's) (NP (DT a) (NN-CONTRAST character) (NN-CONTRAST flaw))) (. .))
3062,Yahoo,YahooAnswers,Is there a one chromosome organism?,Bacteria have a single circular genome.,,9,18,0,3,DEVELOPMENT,(SQ (VBZ Is) (NP (EX-CONTRAST there)) (NP (NP (DT a) (CD one) (NN chromosome) (NN organism))) (. ?)),(S (NP (NNS-CONTRAST Bacteria)) (VP (VBP have) (NP (DT a) (JJ single) (JJ circular) (NN genome))) (. .))
3019,Yahoo,YahooAnswers,Is tuna a scaled fish?,A tuna is a fully scaled fish.,,28,2,0,0,DEVELOPMENT,(SQ (VBZ Is) (NP (NN tuna)) (NP (DT a) (JJ-CONTRAST scaled) (NN fish)) (. ?)),(S (NP (DT A) (NN tuna)) (VP (VBZ is) (NP (DT a) (ADJP-CONTRAST (RB fully) (JJ scaled)) (NN fish))) (. .))
3029,Yahoo,YahooAnswers,Was Jesus a Native American?,He was a Jew.,,0,0,24,6,DEVELOPMENT,(SQ (VBD Was) (NP (NNPS Jesus)) (PP (FW a) (NP (NNP-CONTRAST Native) (NNP-CONTRAST American))) (. ?)),(S (NP (PRP He)) (VP (VBD was) (NP (DT a) (NN Jew))) (. .))
